query,parameter_index,parameters,results,time_seconds
bi16a,1,"{""tagA"": ""Diosdado_Macapagal"", ""dateA"": ""2012-10-07"", ""tagB"": ""Thailand"", ""dateB"": ""2012-12-14"", ""maxKnowsLimit"": ""5""}",[],1.152917
bi16a,2,"{""tagA"": ""Diosdado_Macapagal"", ""dateA"": ""2012-10-08"", ""tagB"": ""Thailand"", ""dateB"": ""2012-12-14"", ""maxKnowsLimit"": ""6""}",[],3.044426
bi16a,3,"{""tagA"": ""Bobby_Hull"", ""dateA"": ""2012-06-21"", ""tagB"": ""Franz_Joseph_I_of_Austria"", ""dateB"": ""2012-11-30"", ""maxKnowsLimit"": ""3""}",[],2.565864
bi16a,4,"{""tagA"": ""Bobby_Hull"", ""dateA"": ""2012-06-22"", ""tagB"": ""Franz_Joseph_I_of_Austria"", ""dateB"": ""2012-11-30"", ""maxKnowsLimit"": ""4""}",[],1.870439
bi16a,5,"{""tagA"": ""Siad_Barre"", ""dateA"": ""2010-06-16"", ""tagB"": ""John_Wayne"", ""dateB"": ""2012-12-20"", ""maxKnowsLimit"": ""5""}",[],1.501492
bi16a,6,"{""tagA"": ""Rubén_Blades"", ""dateA"": ""2010-06-03"", ""tagB"": ""Czechoslovakia"", ""dateB"": ""2012-12-05"", ""maxKnowsLimit"": ""5""}",[],1.715211
bi16a,7,"{""tagA"": ""Alexander_Downer"", ""dateA"": ""2012-01-30"", ""tagB"": ""Antonio_Vivaldi"", ""dateB"": ""2012-12-02"", ""maxKnowsLimit"": ""6""}",[],5.668786
bi16a,8,"{""tagA"": ""Mariano_Rivera"", ""dateA"": ""2011-10-12"", ""tagB"": ""Jack_Kerouac"", ""dateB"": ""2012-12-26"", ""maxKnowsLimit"": ""5""}",[],29.702831
bi16a,9,"{""tagA"": ""Mariano_Rivera"", ""dateA"": ""2011-10-13"", ""tagB"": ""Jack_Kerouac"", ""dateB"": ""2012-12-26"", ""maxKnowsLimit"": ""6""}",[],10.265365
bi16a,10,"{""tagA"": ""Vinicius_de_Moraes"", ""dateA"": ""2012-05-19"", ""tagB"": ""Mick_Jagger"", ""dateB"": ""2012-12-13"", ""maxKnowsLimit"": ""3""}",[],0.868243
bi16a,11,"{""tagA"": ""Vinicius_de_Moraes"", ""dateA"": ""2012-05-20"", ""tagB"": ""Mick_Jagger"", ""dateB"": ""2012-12-13"", ""maxKnowsLimit"": ""4""}",[],2.356076
bi16a,12,"{""tagA"": ""Shapur_II"", ""dateA"": ""2010-10-11"", ""tagB"": ""Arthur_Wellesley,_1st_Duke_of_Wellington"", ""dateB"": ""2012-12-18"", ""maxKnowsLimit"": ""4""}",[],1.881199
bi16a,13,"{""tagA"": ""Shapur_II"", ""dateA"": ""2010-10-12"", ""tagB"": ""Arthur_Wellesley,_1st_Duke_of_Wellington"", ""dateB"": ""2012-12-18"", ""maxKnowsLimit"": ""5""}",[],4.509747
bi16a,14,"{""tagA"": ""Enrique_Iglesias"", ""dateA"": ""2012-04-27"", ""tagB"": ""Bulgaria"", ""dateB"": ""2011-02-02"", ""maxKnowsLimit"": ""6""}",[],1.757335
bi16a,15,"{""tagA"": ""Enrique_Iglesias"", ""dateA"": ""2012-04-28"", ""tagB"": ""Bulgaria"", ""dateB"": ""2011-02-02"", ""maxKnowsLimit"": ""3""}",[],13.594489
bi16a,16,"{""tagA"": ""Paula_Abdul"", ""dateA"": ""2010-05-27"", ""tagB"": ""Ralph_Waldo_Emerson"", ""dateB"": ""2012-12-28"", ""maxKnowsLimit"": ""5""}",[],1.015232
bi16a,17,"{""tagA"": ""Haile_Selassie_I"", ""dateA"": ""2010-08-29"", ""tagB"": ""Bertolt_Brecht"", ""dateB"": ""2012-12-28"", ""maxKnowsLimit"": ""3""}",[],1.874526
bi16a,18,"{""tagA"": ""Haile_Selassie_I"", ""dateA"": ""2010-08-30"", ""tagB"": ""Bertolt_Brecht"", ""dateB"": ""2012-12-28"", ""maxKnowsLimit"": ""4""}",[],2.276326
bi16a,19,"{""tagA"": ""Francis_I_of_the_Two_Sicilies"", ""dateA"": ""2012-10-04"", ""tagB"": ""Rumi"", ""dateB"": ""2012-11-29"", ""maxKnowsLimit"": ""3""}",[],1.512096
bi16a,20,"{""tagA"": ""Toru_Takemitsu"", ""dateA"": ""2011-10-04"", ""tagB"": ""Aleister_Crowley"", ""dateB"": ""2012-12-31"", ""maxKnowsLimit"": ""6""}",[],1.447664
bi16a,21,"{""tagA"": ""Toru_Takemitsu"", ""dateA"": ""2011-10-05"", ""tagB"": ""Aleister_Crowley"", ""dateB"": ""2012-12-31"", ""maxKnowsLimit"": ""3""}",[],1.183846
bi16a,22,"{""tagA"": ""Haile_Selassie_I"", ""dateA"": ""2010-08-29"", ""tagB"": ""Franz_Joseph_I_of_Austria"", ""dateB"": ""2012-11-30"", ""maxKnowsLimit"": ""3""}",[],1.721970
bi16a,23,"{""tagA"": ""Haile_Selassie_I"", ""dateA"": ""2010-08-30"", ""tagB"": ""Franz_Joseph_I_of_Austria"", ""dateB"": ""2012-11-30"", ""maxKnowsLimit"": ""4""}",[],2.282374
bi16a,24,"{""tagA"": ""Chulalongkorn"", ""dateA"": ""2010-12-30"", ""tagB"": ""Mick_Jagger"", ""dateB"": ""2012-12-13"", ""maxKnowsLimit"": ""3""}",[],1.042969
bi16a,25,"{""tagA"": ""Paradorn_Srichaphan"", ""dateA"": ""2012-02-20"", ""tagB"": ""Lucille_Ball"", ""dateB"": ""2012-12-30"", ""maxKnowsLimit"": ""3""}",[],1.558009
bi16a,26,"{""tagA"": ""Paradorn_Srichaphan"", ""dateA"": ""2012-02-21"", ""tagB"": ""Lucille_Ball"", ""dateB"": ""2012-12-30"", ""maxKnowsLimit"": ""4""}",[],14.213816
bi16a,27,"{""tagA"": ""Paradorn_Srichaphan"", ""dateA"": ""2012-02-22"", ""tagB"": ""Lucille_Ball"", ""dateB"": ""2012-12-30"", ""maxKnowsLimit"": ""5""}",[],1.972351
bi16a,28,"{""tagA"": ""Slavoj_Žižek"", ""dateA"": ""2011-01-15"", ""tagB"": ""Nelson_Mandela"", ""dateB"": ""2012-11-24"", ""maxKnowsLimit"": ""3""}",[],3.641938
bi16a,29,"{""tagA"": ""Slavoj_Žižek"", ""dateA"": ""2012-06-15"", ""tagB"": ""Nelson_Mandela"", ""dateB"": ""2012-11-24"", ""maxKnowsLimit"": ""3""}",[],4.346181
bi16a,30,"{""tagA"": ""Alejandro_Falla"", ""dateA"": ""2012-05-03"", ""tagB"": ""Belize"", ""dateB"": ""2012-12-29"", ""maxKnowsLimit"": ""3""}",[],1.246759
bi16a,31,"{""tagA"": ""Alexander_Downer"", ""dateA"": ""2012-01-30"", ""tagB"": ""Henry_II_of_England"", ""dateB"": ""2012-09-21"", ""maxKnowsLimit"": ""6""}","[{""person.id"": 24189255819001, ""messageCountA"": 2, ""messageCountB"": 1}]",5.662113
bi16a,32,"{""tagA"": ""Léopold_Sédar_Senghor"", ""dateA"": ""2010-10-05"", ""tagB"": ""Nicolas_Sarkozy"", ""dateB"": ""2012-12-26"", ""maxKnowsLimit"": ""6""}",[],0.908808
bi16a,33,"{""tagA"": ""Gil_Kane"", ""dateA"": ""2011-04-13"", ""tagB"": ""Bing_Crosby"", ""dateB"": ""2012-12-11"", ""maxKnowsLimit"": ""4""}",[],1.669173
bi16a,34,"{""tagA"": ""Gil_Kane"", ""dateA"": ""2011-04-14"", ""tagB"": ""Bing_Crosby"", ""dateB"": ""2012-12-11"", ""maxKnowsLimit"": ""5""}",[],9.348723
bi16a,35,"{""tagA"": ""Chulalongkorn"", ""dateA"": ""2010-12-30"", ""tagB"": ""Alfred_Hitchcock"", ""dateB"": ""2012-12-20"", ""maxKnowsLimit"": ""6""}",[],1.059105
bi16a,36,"{""tagA"": ""Joe_Strummer"", ""dateA"": ""2011-10-22"", ""tagB"": ""Thomas_Jefferson"", ""dateB"": ""2012-12-11"", ""maxKnowsLimit"": ""4""}",[],11.201992
bi16a,37,"{""tagA"": ""Joe_Strummer"", ""dateA"": ""2011-10-23"", ""tagB"": ""Thomas_Jefferson"", ""dateB"": ""2012-12-11"", ""maxKnowsLimit"": ""5""}",[],2.607411
bi16a,38,"{""tagA"": ""Vinicius_de_Moraes"", ""dateA"": ""2012-05-19"", ""tagB"": ""New_Zealand"", ""dateB"": ""2012-12-05"", ""maxKnowsLimit"": ""3""}",[],0.856555
bi16a,39,"{""tagA"": ""Vinicius_de_Moraes"", ""dateA"": ""2012-05-20"", ""tagB"": ""New_Zealand"", ""dateB"": ""2012-12-05"", ""maxKnowsLimit"": ""4""}",[],2.343940
bi16a,40,"{""tagA"": ""Kateryna_Bondarenko"", ""dateA"": ""2011-09-18"", ""tagB"": ""Michael_Jackson"", ""dateB"": ""2012-10-31"", ""maxKnowsLimit"": ""5""}",[],3.243888
