query,parameter_index,parameters,results,time_seconds
bi2b,1,"{""date"": ""2010-06-21"", ""tagClass"": ""ComicsCharacter""}","[{""tag.name"": ""Superman"", ""countWindow1"": 12, ""countWindow2"": 45, ""diff"": 33}, {""tag.name"": ""Batman"", ""countWindow1"": 15, ""countWindow2"": 29, ""diff"": 14}, {""tag.name"": ""Spider-Man"", ""countWindow1"": 15, ""countWindow2"": 27, ""diff"": 12}, {""tag.name"": ""Captain_America"", ""countWindow1"": 7, ""countWindow2"": 16, ""diff"": 9}, {""tag.name"": ""Lex_Luthor"", ""countWindow1"": 10, ""countWindow2"": 11, ""diff"": 1}]",0.013381
bi2b,2,"{""date"": ""2010-06-18"", ""tagClass"": ""Actor""}","[{""tag.name"": ""Tom_Cruise"", ""countWindow1"": 15, ""countWindow2"": 38, ""diff"": 23}, {""tag.name"": ""Johnny_Depp"", ""countWindow1"": 13, ""countWindow2"": 27, ""diff"": 14}, {""tag.name"": ""Jackie_Chan"", ""countWindow1"": 11, ""countWindow2"": 20, ""diff"": 9}, {""tag.name"": ""Bruce_Lee"", ""countWindow1"": 22, ""countWindow2"": 27, ""diff"": 5}, {""tag.name"": ""Faye_Wong"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Jet_Li"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Tsui_Hark"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Zhang_Yimou"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}]",0.011205
bi2b,3,"{""date"": ""2010-06-17"", ""tagClass"": ""ComicsCreator""}","[{""tag.name"": ""Jack_Kirby"", ""countWindow1"": 14, ""countWindow2"": 31, ""diff"": 17}, {""tag.name"": ""Stan_Lee"", ""countWindow1"": 14, ""countWindow2"": 26, ""diff"": 12}, {""tag.name"": ""Grant_Morrison"", ""countWindow1"": 5, ""countWindow2"": 12, ""diff"": 7}, {""tag.name"": ""Jim_Lee"", ""countWindow1"": 2, ""countWindow2"": 9, ""diff"": 7}, {""tag.name"": ""Gil_Kane"", ""countWindow1"": 7, ""countWindow2"": 5, ""diff"": 2}, {""tag.name"": ""Herg\u00e9"", ""countWindow1"": 1, ""countWindow2"": 2, ""diff"": 1}, {""tag.name"": ""Alex_Ross"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Art_Spiegelman"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Brian_Michael_Bendis"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Carl_Barks"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Garth_Ennis"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Gene_Colan"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Geoff_Johns"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""George_P\u00e9rez"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Gerry_Conway"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Jerry_Siegel"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Joe_Quesada"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Joe_Shuster"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""John_Buscema"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""John_Wagner"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Keith_Giffen"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Kurt_Busiek"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Len_Wein"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Mark_Millar"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Marv_Wolfman"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Neal_Adams"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Osamu_Tezuka"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Robert_Crumb"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Roy_Thomas"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Steve_Ditko"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Todd_McFarlane"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Wally_Wood"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Warren_Ellis"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Will_Eisner"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}]",0.013520
bi2b,4,"{""date"": ""2010-06-19"", ""tagClass"": ""SoccerPlayer""}","[{""tag.name"": ""Lu\u00eds_Figo"", ""countWindow1"": 0, ""countWindow2"": 726, ""diff"": 726}, {""tag.name"": ""Patrick_Vieira"", ""countWindow1"": 27, ""countWindow2"": 44, ""diff"": 17}, {""tag.name"": ""David_Beckham"", ""countWindow1"": 12, ""countWindow2"": 24, ""diff"": 12}, {""tag.name"": ""Dimitar_Berbatov"", ""countWindow1"": 0, ""countWindow2"": 12, ""diff"": 12}, {""tag.name"": ""Fernando_Torres"", ""countWindow1"": 13, ""countWindow2"": 7, ""diff"": 6}, {""tag.name"": ""Ronaldo"", ""countWindow1"": 0, ""countWindow2"": 2, ""diff"": 2}, {""tag.name"": ""Carlos_T\u00e9vez"", ""countWindow1"": 14, ""countWindow2"": 15, ""diff"": 1}, {""tag.name"": ""Cristiano_Ronaldo"", ""countWindow1"": 0, ""countWindow2"": 1, ""diff"": 1}, {""tag.name"": ""Pel\u00e9"", ""countWindow1"": 0, ""countWindow2"": 1, ""diff"": 1}, {""tag.name"": ""Thierry_Henry"", ""countWindow1"": 2, ""countWindow2"": 1, ""diff"": 1}, {""tag.name"": ""Alessandro_Del_Piero"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Andrew_Cole"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Ashley_Cole"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Cesc_F\u00e0bregas"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Christian_Vieri"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""David_Trezeguet"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""David_Villa"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Filippo_Inzaghi"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Francesco_Totti"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Frank_Lampard"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Gabriel_Batistuta"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""George_Best"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Hern\u00e1n_Crespo"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Ian_Wright"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Joe_Cole"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""John_Terry"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Kak\u00e1"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Landon_Donovan"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Lionel_Messi"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Michael_Ballack"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Michael_Owen"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Paolo_Maldini"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Paul_Scholes"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Peter_Crouch"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Rio_Ferdinand"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Robbie_Keane"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Roberto_Baggio"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Robin_van_Persie"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Robinho"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Ronaldinho"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Ruud_van_Nistelrooy"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Ryan_Giggs"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Steven_Gerrard"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Teddy_Sheringham"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Wayne_Rooney"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Xavi"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Zinedine_Zidane"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Zlatan_Ibrahimovi\u0107"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}]",0.009665
bi2b,5,"{""date"": ""2010-06-15"", ""tagClass"": ""SoccerPlayer""}","[{""tag.name"": ""Lu\u00eds_Figo"", ""countWindow1"": 0, ""countWindow2"": 725, ""diff"": 725}, {""tag.name"": ""Patrick_Vieira"", ""countWindow1"": 26, ""countWindow2"": 44, ""diff"": 18}, {""tag.name"": ""Dimitar_Berbatov"", ""countWindow1"": 0, ""countWindow2"": 12, ""diff"": 12}, {""tag.name"": ""David_Beckham"", ""countWindow1"": 13, ""countWindow2"": 21, ""diff"": 8}, {""tag.name"": ""Fernando_Torres"", ""countWindow1"": 14, ""countWindow2"": 7, ""diff"": 7}, {""tag.name"": ""Ronaldo"", ""countWindow1"": 0, ""countWindow2"": 2, ""diff"": 2}, {""tag.name"": ""Carlos_T\u00e9vez"", ""countWindow1"": 15, ""countWindow2"": 14, ""diff"": 1}, {""tag.name"": ""Cristiano_Ronaldo"", ""countWindow1"": 0, ""countWindow2"": 1, ""diff"": 1}, {""tag.name"": ""Pel\u00e9"", ""countWindow1"": 0, ""countWindow2"": 1, ""diff"": 1}, {""tag.name"": ""Thierry_Henry"", ""countWindow1"": 2, ""countWindow2"": 1, ""diff"": 1}, {""tag.name"": ""Alessandro_Del_Piero"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Andrew_Cole"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Ashley_Cole"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Cesc_F\u00e0bregas"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Christian_Vieri"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""David_Trezeguet"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""David_Villa"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Filippo_Inzaghi"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Francesco_Totti"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Frank_Lampard"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Gabriel_Batistuta"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""George_Best"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Hern\u00e1n_Crespo"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Ian_Wright"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Joe_Cole"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""John_Terry"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Kak\u00e1"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Landon_Donovan"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Lionel_Messi"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Michael_Ballack"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Michael_Owen"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Paolo_Maldini"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Paul_Scholes"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Peter_Crouch"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Rio_Ferdinand"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Robbie_Keane"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Roberto_Baggio"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Robin_van_Persie"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Robinho"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Ronaldinho"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Ruud_van_Nistelrooy"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Ryan_Giggs"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Steven_Gerrard"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Teddy_Sheringham"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Wayne_Rooney"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Xavi"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Zinedine_Zidane"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Zlatan_Ibrahimovi\u0107"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}]",0.008121
bi2b,6,"{""date"": ""2010-06-18"", ""tagClass"": ""BaseballPlayer""}","[{""tag.name"": ""Sammy_Sosa"", ""countWindow1"": 437, ""countWindow2"": 14, ""diff"": 423}, {""tag.name"": ""Mariano_Rivera"", ""countWindow1"": 2, ""countWindow2"": 8, ""diff"": 6}, {""tag.name"": ""Babe_Ruth"", ""countWindow1"": 18, ""countWindow2"": 23, ""diff"": 5}, {""tag.name"": ""Jackie_Robinson"", ""countWindow1"": 19, ""countWindow2"": 21, ""diff"": 2}, {""tag.name"": ""Manny_Ramirez"", ""countWindow1"": 0, ""countWindow2"": 2, ""diff"": 2}, {""tag.name"": ""Albert_Pujols"", ""countWindow1"": 1, ""countWindow2"": 1, ""diff"": 0}, {""tag.name"": ""Bert_Blyleven"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Billy_Martin"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Bob_Feller"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Cal_Ripken,_Jr."", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Carlton_Fisk"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Cliff_Lee"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Curt_Schilling"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Cy_Young"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Dave_Winfield"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""David_Ortiz"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Derek_Lowe"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Gary_Sheffield"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Gaylord_Perry"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Greg_Maddux"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Harmon_Killebrew"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Honus_Wagner"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Jamie_Moyer"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Jim_Thorpe"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Jimmie_Foxx"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Lou_Gehrig"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Mark_McGwire"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Mickey_Mantle"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Mike_Piazza"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Nolan_Ryan"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Phil_Rizzuto"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Randy_Johnson"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Roger_Clemens"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Rogers_Hornsby"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Roy_Halladay"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Sandy_Koufax"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Ted_Williams"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Tim_McCarver"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Tommy_Lasorda"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Ty_Cobb"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Walter_Johnson"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Willie_Mays"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}]",0.031945
bi2b,7,"{""date"": ""2010-06-22"", ""tagClass"": ""Boxer""}","[{""tag.name"": ""Muhammad_Ali"", ""countWindow1"": 17, ""countWindow2"": 35, ""diff"": 18}, {""tag.name"": ""Evander_Holyfield"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Floyd_Mayweather,_Jr."", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""George_Foreman"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Jack_Dempsey"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Joe_Louis"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Manny_Pacquiao"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Mike_Tyson"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Oscar_De_La_Hoya"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Roy_Jones,_Jr."", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Sugar_Ray_Leonard"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}]",0.005673
bi2b,8,"{""date"": ""2010-06-19"", ""tagClass"": ""FictionalCharacter""}","[{""tag.name"": ""Sherlock_Holmes"", ""countWindow1"": 26, ""countWindow2"": 49, ""diff"": 23}, {""tag.name"": ""Donald_Duck"", ""countWindow1"": 14, ""countWindow2"": 29, ""diff"": 15}, {""tag.name"": ""Peter_Pan"", ""countWindow1"": 10, ""countWindow2"": 24, ""diff"": 14}, {""tag.name"": ""Mickey_Mouse"", ""countWindow1"": 13, ""countWindow2"": 25, ""diff"": 12}, {""tag.name"": ""Bugs_Bunny"", ""countWindow1"": 9, ""countWindow2"": 19, ""diff"": 10}, {""tag.name"": ""Tarzan"", ""countWindow1"": 14, ""countWindow2"": 23, ""diff"": 9}, {""tag.name"": ""James_Bond"", ""countWindow1"": 36, ""countWindow2"": 44, ""diff"": 8}]",0.018600
bi2b,9,"{""date"": ""2010-06-21"", ""tagClass"": ""FictionalCharacter""}","[{""tag.name"": ""Sherlock_Holmes"", ""countWindow1"": 27, ""countWindow2"": 49, ""diff"": 22}, {""tag.name"": ""Donald_Duck"", ""countWindow1"": 14, ""countWindow2"": 31, ""diff"": 17}, {""tag.name"": ""Peter_Pan"", ""countWindow1"": 10, ""countWindow2"": 25, ""diff"": 15}, {""tag.name"": ""Mickey_Mouse"", ""countWindow1"": 12, ""countWindow2"": 26, ""diff"": 14}, {""tag.name"": ""Bugs_Bunny"", ""countWindow1"": 9, ""countWindow2"": 22, ""diff"": 13}, {""tag.name"": ""James_Bond"", ""countWindow1"": 36, ""countWindow2"": 45, ""diff"": 9}, {""tag.name"": ""Tarzan"", ""countWindow1"": 16, ""countWindow2"": 22, ""diff"": 6}]",0.016082
bi2b,10,"{""date"": ""2010-06-12"", ""tagClass"": ""Senator""}","[{""tag.name"": ""John_McCain"", ""countWindow1"": 24, ""countWindow2"": 40, ""diff"": 16}, {""tag.name"": ""Joe_Lieberman"", ""countWindow1"": 7, ""countWindow2"": 19, ""diff"": 12}, {""tag.name"": ""John_Kerry"", ""countWindow1"": 20, ""countWindow2"": 28, ""diff"": 8}, {""tag.name"": ""Bob_Dole"", ""countWindow1"": 17, ""countWindow2"": 19, ""diff"": 2}, {""tag.name"": ""Al_Franken"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Arlen_Specter"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Bill_Frist"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Bill_Nelson"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Carl_Levin"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Charles_Sumner"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Chuck_Grassley"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Chuck_Schumer"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Eugene_McCarthy"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Franco_Zeffirelli"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Fred_Thompson"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Henry_Cabot_Lodge,_Jr."", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Jim_Bunning"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""John_Cornyn"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""John_Edwards"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""John_Glenn"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Kay_Bailey_Hutchison"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Mary_Landrieu"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Robert_Taft"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Stephen_A._Douglas"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Tom_Daschle"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Tom_Harkin"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}, {""tag.name"": ""Trent_Lott"", ""countWindow1"": 0, ""countWindow2"": 0, ""diff"": 0}]",0.011837
