tool|sf|day|batch_type|q|parameters|time
Neo4j|1|2012-11-29|power|q19precomputation||7.422255516052246
Neo4j|1|2012-11-29|power|q20precomputation||0.4170997142791748
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-06-11T09:21:46.451+00:00"}|0.04530906677246094
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-02-26T03:51:21.290+00:00"}|0.007237911224365234
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-07-21T06:06:50.322+00:00"}|0.05649375915527344
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-07-02T14:38:15.483+00:00"}|0.030680179595947266
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-06-19T18:42:23.225+00:00"}|0.027866363525390625
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-05-21T03:03:17.419+00:00"}|0.01831674575805664
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-07-04T05:29:09.677+00:00"}|0.0319979190826416
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-07-24T03:51:11.612+00:00"}|0.04897928237915039
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-04-06T18:42:58.064+00:00"}|0.010550975799560547
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-06-01T09:09:15.483+00:00"}|0.02628612518310547
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-05-31T02:14:48.387+00:00"}|0.02195882797241211
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-04-28T07:55:54.193+00:00"}|0.01379251480102539
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-06-18T11:47:56.129+00:00"}|0.026892662048339844
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-08-09T22:34:25.161+00:00"}|0.05107688903808594
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-09-19T02:14:56.129+00:00"}|0.09325098991394043
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-05-10T20:56:19.354+00:00"}|0.016122817993164062
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-06-06T21:45:30.967+00:00"}|0.02369523048400879
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-07-07T02:14:30.967+00:00"}|0.03286242485046387
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-08-25T16:16:38.709+00:00"}|0.04728507995605469
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-06-05T14:50:03.870+00:00"}|0.02236771583557129
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-06-12T16:16:13.548+00:00"}|0.02371382713317871
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-08-16T00:00:34.838+00:00"}|0.04321026802062988
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-08-07T07:43:30.967+00:00"}|0.04114580154418945
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-07-17T01:25:01.935+00:00"}|0.03443503379821777
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-06-13T23:11:40.645+00:00"}|0.02518749237060547
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-05-19T12:12:23.225+00:00"}|0.018146514892578125
